Record Document Number,WR Doc ID,Certificate Number,Conservancy Board Number,Court Claim Number,Person or Organization,Status,Phase,Stage,Priority Date Claim First Use,Purpose of Use,Number of Connections,Qi,Units of Measure,Qa,Irrigated Acres,WRIA,Region,County,TRS,QQ,Q,Number of Device Types,First Device Type Listed,Number of Sources,First Source Name Listed
CG1-*00443,6556031,00789,,,CMF Properties Management LLC,Inactive,Change-ROE,Final,03/24/2015,"Irrigation,Irrigation",,160.0000,GPM,47.5000,67.6000,1,NWRO,Whatcom,T40.0N/R02.0E/23,NE,SE,9,Well,9,Groundwater
CG1-*00929,6556401,00866,,,CMF Properties Management LLC,Inactive,Change-ROE,Final,03/24/2015,"Irrigation,Irrigation",,160.0000,GPM,40.0000,56.9000,1,NWRO,Whatcom,T40.0N/R02.0E/23,NW,NE,17,Well,17,Groundwater
CG1-*01798C,6798860,02831,,,"Lakeland Farms Llc,  ",ChangeInProgress,Change-ROE,CC,02/10/2016,"Irrigation,Irrigation",,120.0000,GPM,50.1000,380.3000,1,NWRO,Whatcom,T40.0N/R02.0E/27,SW,SW,6,Well,6,Groundwater
CG1-*02351C@1,5600885,01300,,,Enfield Farms Inc,Active,Change-ROE,PA Exam,01/07/2013,"Irrigation,Commercial and Industrial",,320.0000,GPM,102.7000,,1,NWRO,Whatcom,T40.0N/R02.0E/22,SW,SE,18,Well,18,Groundwater
CG1-*02369A@4,4267537,02369,,,Port Of Seattle,ChangeInProgress,Change-ROE,PA Notice,04/03/2006,"Stream Augmentation,Mitigation",,53.9000,GPM,22.9000,,9,NWRO,King,T22.0N/R04.0E/04,SW,SE,1,Well,1,Groundwater
CG1-*02369A@5,6799966,02369,,,Port Of Seattle,Active,Change-ROE,CC,01/30/2017,"Domestic Multiple,Domestic Multiple,Domestic Multiple,Domestic Multiple,Stream Augmentation,Domestic Multiple",,350.0000,GPM,72.2000,0.0000,9,NWRO,King,T22.0N/R04.0E/04,SE,NW,2,Well,2,Groundwater
CG1-*03131CWRIS,6801574,01641,,,"EThree, LLC",Active,Change-ROE,PA Notice,08/06/2018,"Irrigation,Irrigation",,150.0000,GPM,59.9000,81.7000,1,NWRO,Whatcom,T41.0N/R04.0E/31,SW,SE,3,Well,3,Groundwater
CG1-*03242C,6798861,01977,,,"Lakeland Farms Llc,  ",ChangeInProgress,Change-ROE,CC,02/10/2016,"Irrigation,Irrigation",,150.0000,GPM,2.7000,380.3000,1,NWRO,Whatcom,T40.0N/R02.0E/27,SW,SW,6,Well,6,Groundwater
CG1-*05151C,6555935,03960,,,CMF Properties Management LLC,Inactive,Change-ROE,Final,03/24/2015,"Irrigation,Irrigation",,175.0000,GPM,84.0000,119.8000,1,NWRO,Whatcom,T40.0N/R02.0E/23,NW,NE,17,Well,17,Groundwater
CG1-*05625CWRIS,6801573,04068,,,"EThree, LLC",Active,Change-ROE,PA Notice,08/06/2018,"Irrigation,Irrigation",,264.0000,GPM,41.0000,81.7000,1,NWRO,Whatcom,T41.0N/R04.0E/31,SW,SE,3,Well,3,Groundwater
CG1-*06775,6803130,05608,,,Bay View Beach Water Dist,Active,Change-ROE,ROE-ROD,03/27/1991,Domestic Multiple,113,200.0000,GPM,86.0000,,6,NWRO,Island,T29.0N/R02.0E/23,NW,SE,2,Well,2,Groundwater
CG1-*08893C@1,4680425,06480,,,Hillcrest Village Water Co,Active,Change-ROE,PA Notice,05/03/1995,Domestic Multiple,300,110.0000,GPM,194.0000,,6,NWRO,Island,T33.0N/R01.0E/33,SW,SE,1,Well,1,Groundwater
CG1-*10817C,6556224,07298,,,CMF Properties Management LLC,Inactive,Change-ROE,Final,03/24/2015,"Irrigation,Irrigation",,150.0000,GPM,46.7000,66.5000,1,NWRO,Whatcom,T40.0N/R02.0E/23,NW,NE,17,Well,17,Groundwater
CG1-*11317C,6506656,07613,,,Uptrail Group LLC,Active,Change-ROE,PA Notice,03/02/2015,Irrigation,,220.0000,GPM,45.9000,121.0000,1,NWRO,Whatcom,T40.0N/R03.0E/33,SE,NW,5,Well,5,Groundwater
CG1-004221CL,5802797,,,,A & A Enfield LLC,Active,Change-ROE,PA Exam,06/28/2013,Irrigation,,350.0000,GPM,125.2000,222.0000,1,NWRO,Whatcom,T40.0N/R03.0E/02,SW,NW,7,Well,7,Groundwater
CG1-022169CL,5441966,,,,MJD Farms LLC/Mike Douma,Active,Change-ROE,PA Notice,09/21/2012,Irrigation,,10.0000,GPM,0.9200,,1,NWRO,Whatcom,T40.0N/R02.0E/21,SW,NE,15,Well,15,Groundwater
CG1-060050CL,6555980,,,,CMF Properties Management LLC,Inactive,Change-ROE,Final,03/24/2015,"Irrigation,Irrigation",,120.0000,GPM,5.5000,7.8000,1,NWRO,Whatcom,T40.0N/R02.0E/23,NW,NE,17,Well,17,Groundwater
CG1-143746CL,6806118,,,,"Maberry, Marty ",Active,Change Application,AppAccepted,05/06/2024,Irrigation,,170.0000,GPM,15.2500,452.0000,1,NWRO,Whatcom,T40.0N/R01.0E/24,SW,NE,1,Well,1,Groundwater
CG1-149586CL,6803759,,,,James Dairy,Active,Change Application,AppAccepted,06/28/2021,Irrigation,9,40.0000,GPM,18.3000,290.9000,1,NWRO,Whatcom,T40.0N/R02.0E/20,NE,SE,9,Well,9,Groundwater
CG1-20041,6805441,G1-20041   C,,,Camano City Community Club,Active,Change-ROE,ROE-ROD,08/18/2023,Municipal,164,99.0000,GPM,60.5000,,6,NWRO,Island,T31.0N/R02.0E/14,NE,SW,2,Well,2,Groundwater
CG1-20657CWRIS,4350891,G1-20657   C,,,San Juan Golf & Country Club,Active,Change-ROE,PA Exam,04/17/2007,"Commercial and Industrial,Domestic Single","2,1",15.0000,GPM,2.2500,,2,NWRO,San Juan,T35.0N/R03.0W/26,SE,NW,1,Well,1,Groundwater
